Analysis,Score,Split,K,Pooled_rho,CI_low,CI_high,Q,I2,Train_rho,Val_rho,Same_direction,Val_CI_crosses_zero
L2CO,score_M2_Macrophage,leave:BRCA+LUSC,30,0.1464,0.1242,0.1684,128.28,0.774,,,,
L2CO,score_Myeloid,leave:BRCA+LUSC,30,0.1225,0.1001,0.1447,104.93,0.724,,,,
L2CO,score_M2_Macrophage,leave:BRCA+MESO,30,0.1394,0.1177,0.1609,135.52,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+MESO,30,0.112,0.0902,0.1337,120.04,0.758,,,,
L2CO,score_M2_Macrophage,leave:BRCA+OV,30,0.1404,0.1182,0.1624,135.6,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+OV,30,0.1123,0.09,0.1344,120.31,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+PAAD,30,0.1415,0.1197,0.1631,132.75,0.782,,,,
L2CO,score_Myeloid,leave:BRCA+PAAD,30,0.113,0.0911,0.1348,119.35,0.757,,,,
L2CO,score_M2_Macrophage,leave:BRCA+PCPG,30,0.133,0.1112,0.1547,124.95,0.768,,,,
L2CO,score_Myeloid,leave:BRCA+PCPG,30,0.1041,0.0822,0.126,101.5,0.714,,,,
L2CO,score_M2_Macrophage,leave:BRCA+PRAD,30,0.1338,0.1116,0.156,133.38,0.783,,,,
L2CO,score_Myeloid,leave:BRCA+PRAD,30,0.1087,0.0863,0.131,119.59,0.758,,,,
L2CO,score_M2_Macrophage,leave:BRCA+READ,30,0.1392,0.1176,0.1608,135.72,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+READ,30,0.112,0.0901,0.1337,120.13,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+SARC,30,0.1438,0.1219,0.1655,129.05,0.775,,,,
L2CO,score_Myeloid,leave:BRCA+SARC,30,0.1172,0.0952,0.1391,111.68,0.74,,,,
L2CO,score_M2_Macrophage,leave:BRCA+SKCM,30,0.1368,0.1151,0.1584,134.23,0.784,,,,
L2CO,score_Myeloid,leave:BRCA+SKCM,30,0.1098,0.088,0.1315,118.99,0.756,,,,
L2CO,score_M2_Macrophage,leave:BRCA+STAD,30,0.1465,0.1244,0.1684,126.35,0.77,,,,
L2CO,score_Myeloid,leave:BRCA+STAD,30,0.1161,0.0939,0.1382,116.93,0.752,,,,
L2CO,score_M2_Macrophage,leave:BRCA+TGCT,30,0.1402,0.1185,0.1618,134.78,0.785,,,,
L2CO,score_Myeloid,leave:BRCA+TGCT,30,0.1139,0.092,0.1357,117.4,0.753,,,,
L2CO,score_M2_Macrophage,leave:BRCA+THCA,30,0.1394,0.1172,0.1616,136.02,0.787,,,,
L2CO,score_Myeloid,leave:BRCA+THCA,30,0.1121,0.0897,0.1343,120.38,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+THYM,30,0.1322,0.1104,0.1538,113.77,0.745,,,,
L2CO,score_Myeloid,leave:BRCA+THYM,30,0.1066,0.0847,0.1283,107.94,0.731,,,,
L2CO,score_M2_Macrophage,leave:BRCA+UCEC,30,0.1371,0.1153,0.1587,135.38,0.786,,,,
L2CO,score_Myeloid,leave:BRCA+UCEC,30,0.1107,0.0888,0.1325,120.32,0.759,,,,
L2CO,score_M2_Macrophage,leave:BRCA+UCS,30,0.1371,0.1155,0.1587,133.92,0.783,,,,
L2CO,score_Myeloid,leave:BRCA+UCS,30,0.1098,0.088,0.1314,117.59,0.753,,,,
L2CO,score_M2_Macrophage,leave:BRCA+UVM,30,0.1403,0.1186,0.1618,133.36,0.783,,,,
L2CO,score_Myeloid,leave:BRCA+UVM,30,0.1133,0.0915,0.135,116.93,0.752,,,,
L2CO,score_M2_Macrophage,leave:CESC+CHOL,30,0.1377,0.1171,0.1582,134.83,0.785,,,,
L2CO,score_Myeloid,leave:CESC+CHOL,30,0.1118,0.0911,0.1324,118.48,0.755,,,,
L2CO,score_M2_Macrophage,leave:CESC+COAD,30,0.1384,0.1175,0.1591,135.61,0.786,,,,
L2CO,score_Myeloid,leave:CESC+COAD,30,0.1114,0.0904,0.1323,118.8,0.756,,,,
L2CO,score_M2_Macrophage,leave:CESC+DLBC,30,0.1375,0.1168,0.158,134.47,0.784,,,,
