,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5
TCGA-E1-A7YI-01,0.006806144449285762,0.932614965611086,0.06038581433820029,4.82689003568853e-05,4.82689003568853e-05,4.82689003568853e-05,4.82689003568853e-05
TCGA-PC-A5DM-01,0.4096513502589751,0.4641839275971204,0.03430276011183743,4.824598708862745e-05,0.037680671234671094,0.005355245671043634,0.04877779913926359
TCGA-BR-A4QL-01,0.9958818588015491,0.0006863568664084947,0.0006863568664084947,0.0006863568664084947,0.0006863568664084947,0.0006863568664084947,0.0006863568664084947
TCGA-CH-5751-01,0.8920342040963971,7.028960801033883e-05,7.028960801033883e-05,7.028960801033883e-05,0.03872934559926722,0.031700973064037304,0.03732460841626744
TCGA-A2-A3XX-01,0.2275431038997806,0.6116642102805757,0.06426209249315334,5.534880783952786e-05,0.08695493804412495,0.009464957666686109,5.534880783952786e-05
GTEX-QXCU-0626-SM-2TC69,0.05442806124322314,0.0010672356337155188,0.0010672356337155188,0.0010672356337155188,0.0010672356337155188,0.0010672356337155188,0.9402357605881992
TCGA-DQ-5624-01,0.5344839365766396,0.21601725998812446,0.020232501250195625,0.16856985786986084,0.012052017597868584,0.0033267253853649526,0.04531770133194602
TCGA-KK-A7B3-01,0.6576818476513719,0.18011144412088279,5.174079535820806e-05,5.174079535820806e-05,0.10611950504026596,0.019196162708022407,0.03678755888874022
GTEX-1269C-2626-SM-5EQ5C,0.0013754736933829835,0.9917471578397022,0.0013754736933829835,0.0013754736933829835,0.0013754736933829835,0.0013754736933829835,0.0013754736933829835
TCGA-HG-A2PA-01,0.2620645734871674,0.4592954017029084,0.04795065208750803,0.11218830880718839,0.058658916977274225,0.00794517242828531,0.0518969745096683
TCGA-06-5412-01,0.9224695664819963,0.005320484047242419,0.00025335944289151853,0.06359570832588625,0.00025335944289151853,0.00025335944289151853,0.007854162816200301
GTEX-ZPCL-0126-SM-4WWC8,0.0004723613895487209,0.5106400733450305,0.0004723613895487209,0.0004723613895487209,0.1232858102330018,0.019367461274841232,0.3452895709784804
TCGA-BP-4989-01,0.22686686045299684,0.5471156723557019,0.08825475301973289,5.250148618632695e-05,0.07512921238016214,0.031028070350253515,0.0315529299549662
TCGA-24-1426-01,0.8585391589178867,5.005784965395428e-05,0.016569292867125805,5.005784965395428e-05,0.11668215515724091,0.008059219508784563,5.005784965395428e-05
TCGA-CZ-5459-01,0.846749174462166,0.03296563268153462,0.06860733228414385,0.00029699094801972085,0.00029699094801972085,0.009206742934319322,0.041877135741796585
TCGA-KK-A8I5-01,0.40092257318953683,0.594024999490652,0.00011227275953765965,0.00011227275953765965,0.00011227275953765965,0.004603336281660477,0.00011227275953765965
TCGA-GN-A266-06,0.9300674761162586,0.007466290160865103,0.03777583072702701,7.392425333737361e-05,7.392425333737361e-05,0.002291657714239501,0.022250896774935032
GTEX-1122O-0426-SM-5H12G,0.001102512646589045,0.10032902357439262,0.001102512646589045,0.001102512646589045,0.06725619260357425,0.001102512646589045,0.8280047332356769
GTEX-ZT9W-0726-SM-4YCDC,0.22002725491009023,0.6548126724867503,0.00043916604901468397,0.00043916604901468397,0.12340340840710051,0.00043916604901468397,0.00043916604901468397
TCGA-F4-6854-01,0.966435216489661,3.239756549621392e-05,3.239756549621392e-05,3.239756549621392e-05,0.011695885734136952,0.008132107105430443,0.013639597974282816
TCGA-BH-A18K-01,0.31614183821239067,0.3090567927076238,0.00014170162067624344,0.00014170162067624344,0.33880894733289557,0.029899058776278624,0.005809959729459049
GTEX-1399Q-0005-SM-5NQAG,0.6908615036332977,0.16701718146101469,0.0378193513316949,0.00023490555145054887,0.00023490555145054887,0.014329861032329604,0.08950229143876205
TCGA-4X-A9FA-01,0.03557285003911545,0.8100149136518207,0.08849381128185797,6.699070107243843e-05,0.06571745292398863,6.699070107243843e-05,6.699070107243843e-05
TCGA-DD-AAW0-01,0.7373517369053776,0.0008873094128329557,0.0008873094128329557,0.10736717484607408,0.10736717484607408,0.04525198516397535,0.0008873094128329557
GTEX-T6MO-1426-SM-4DM73,0.28341217348274617,0.6229868572951073,0.000435353104955201,0.000435353104955201,0.000435353104955201,0.0918595568023254,0.000435353104955201
GTEX-11EI6-3126-SM-5H111,0.18425914565549098,0.6972790949060105,0.0001958053946857493,0.0001958053946857493,0.09026485162883574,0.0276094916256057,0.0001958053946857493
TARGET-50-PAJMSE-01,0.5531696903884905,0.36884689978349466,0.022483243911985935,0.0002025539745736339,0.04881586869643893,0.006279189270442911,0.0002025539745736339
GTEX-QV44-1726-SM-4R1KG,0.034489451526846876,0.8932890586994379,9.826239962629515e-05,9.826239962629515e-05,0.07182844017521019,9.826239962629515e-05,9.826239962629515e-05
GTEX-14E7W-0526-SM-5S2W8,0.21908376767509438,0.7122000792920181,0.06548255850344767,0.0008083986323599947,0.0008083986323599947,0.0008083986323599947,0.0008083986323599947
TCGA-AA-3511-01,0.8739595828337665,0.008847824393723502,0.022300787512256726,5.1739960115167614e-05,0.07145300357393268,0.01867870786360546,0.004708353862599915
TCGA-Z7-A8R5-01,0.11985783895473609,0.7991267052914179,0.019580971730020016,5.277799873900924e-05,0.018524728035503157,5.277799873900924e-05,0.042804199990844644
TCGA-GV-A3QK-01,0.19642444681875515,0.6138875865876721,0.10414362267621152,0.05873834398870469,0.026513049048982988,0.00014647543983685143,0.00014647543983685143
GTEX-X4EP-0011-R9B-SM-4QASI,0.18824454528996515,0.7633835300980425,0.04180385984676636,8.875451058715881e-05,8.875451058715881e-05,0.006301801233464689,8.875451058715881e-05
TCGA-39-5031-01,0.7029187027820418,0.029194284153835685,0.00032081511751035557,0.00032081511751035557,0.1831921700762838,0.00032081511751035557,0.08373239763530747
GTEX-N7MS-2625-SM-3LK77,0.9974864681668509,0.00041892197219142035,0.00041892197219142035,0.00041892197219142035,0.00041892197219142035,0.00041892197219142035,0.00041892197219142035
TCGA-ZG-A8QW-01,0.38789044108182424,0.586792008639741,0.023861377288092536,3.30938147774983e-05,3.30938147774983e-05,0.0013568915460095154,3.30938147774983e-05
TCGA-DU-7302-01,0.5630249169969587,0.19888007851122694,0.002801025195790726,0.002801025195790726,0.22689090370865156,0.002801025195790726,0.002801025195790726
TCGA-DJ-A3UX-01,0.19094277257578468,0.6149377239986041,0.10613792969149588,0.08758406485156547,0.00013250296084998101,0.00013250296084998101,0.00013250296084998101
TARGET-30-PATGLU-01,0.21641025967554983,0.6368567487867781,0.00017161232644279784,0.00017161232644279784,0.00017161232644279784,0.027629261320186317,0.11858889323815747
GTEX-OHPJ-0926-SM-2HMJ1,0.1948642657476941,0.751602337257785,0.044967966585609594,0.002141357602227834,0.002141357602227834,0.002141357602227834,0.002141357602227834
GTEX-13O61-0326-SM-5KM2O,0.9804557647084038,0.0032573725485994056,0.0032573725485994056,0.0032573725485994056,0.0032573725485994056,0.0032573725485994056,0.0032573725485994056
TCGA-C8-A1HL-01,0.2996134253136846,0.5544672582846816,0.09188506376768142,0.00012743720718349832,0.05365194101240211,0.00012743720718349832,0.00012743720718349832
TCGA-EI-6512-01,0.9965308101863102,9.636617149148977e-05,9.636617149148977e-05,9.636617149148977e-05,9.636617149148977e-05,0.0029873589562324446,9.636617149148977e-05
TCGA-J4-A83K-01,0.8718753943544045,0.07465040354279509,0.022793935876154258,0.00010802807136537695,0.00010802807136537695,0.007670274207761102,0.022793935876154258
GTEX-139TU-0006-SM-5LZVN,0.7268382311223789,0.0009550780197543053,0.0009550780197543053,0.0009550780197543053,0.0009550780197543053,0.029607494331823053,0.2397339624667809
TCGA-2H-A9GF-01,0.18459189109900542,0.7737884414402973,0.037702685119947066,0.00016320932215068754,0.0034273543742981243,0.00016320932215068754,0.00016320932215068754
TCGA-HZ-7922-01,0.511957641212817,0.00036805177599251167,0.15126984784511888,0.15495232994730165,0.18071602566678482,0.00036805177599251167,0.00036805177599251167
